2022-11-14-20:39:59.864,1,6.48,16.52,18.04,6.00,23.74,16.97,10.99,16.44,12.81
2022-11-14-20:40:0.874,1,6.53,16.54,18.04,5.97,25.94,-48.65,12.30,17.18,13.13
2022-11-14-20:40:1.883,1,6.51,16.52,18.04,5.95,25.94,-48.91,12.20,17.19,13.20
2022-11-14-20:40:2.897,1,6.17,16.24,17.88,5.80,25.67,-48.66,11.98,17.19,13.29
2022-11-14-20:40:3.907,1,6.51,16.49,18.04,5.97,23.74,17.07,10.88,16.09,12.72
2022-11-14-20:40:4.920,1,6.53,16.49,18.06,6.00,23.70,17.01,11.01,16.43,12.83
2022-11-14-20:40:5.933,1,6.51,16.47,18.06,5.97,23.76,17.11,10.98,16.52,12.74
2022-11-14-20:40:6.962,1,6.51,16.49,18.11,6.00,23.69,17.10,11.02,16.46,12.83
2022-11-14-20:40:8.13,1,6.53,16.52,18.11,6.02,23.70,17.16,10.97,16.46,12.80
2022-11-14-20:40:8.970,1,6.53,16.56,18.08,6.02,23.72,17.15,11.00,16.49,12.82
2022-11-14-20:40:9.983,1,6.53,16.56,18.08,6.04,23.63,17.18,10.97,16.46,12.81
2022-11-14-20:40:10.997,1,6.53,16.56,18.04,6.07,23.55,17.13,10.98,16.46,12.79
2022-11-14-20:40:12.8,1,6.53,16.59,18.08,6.09,23.67,17.28,11.02,16.59,12.76
2022-11-14-20:40:13.23,1,6.53,16.59,18.13,6.12,23.67,16.63,10.91,16.08,12.57
2022-11-14-20:40:14.86,1,6.53,16.59,18.15,6.12,23.53,17.23,10.99,16.40,12.71
2022-11-14-20:40:15.57,1,6.53,16.61,18.17,6.14,23.70,17.18,11.04,16.46,12.73
2022-11-14-20:40:16.63,1,6.53,16.61,18.22,6.14,23.73,17.25,11.00,16.41,12.77
2022-11-14-20:40:17.99,1,6.53,16.63,18.17,6.07,23.66,17.15,11.02,16.42,12.81
2022-11-14-20:40:18.112,1,6.51,16.65,18.17,6.09,23.59,17.23,10.98,16.50,12.81
2022-11-14-20:40:19.95,1,6.51,16.68,18.24,6.07,23.63,17.23,11.03,16.50,12.86
2022-11-14-20:40:20.110,1,6.53,16.65,18.22,6.09,23.63,17.23,11.01,16.50,12.76
2022-11-14-20:40:21.120,1,6.26,16.70,18.22,6.14,23.65,17.27,11.02,16.54,12.80
2022-11-14-20:40:22.133,1,6.53,16.65,18.15,6.14,23.57,17.28,11.00,16.08,12.62
2022-11-14-20:40:23.147,1,6.48,16.65,18.20,6.14,23.64,17.15,10.99,16.47,12.69
2022-11-14-20:40:24.160,1,6.51,16.63,18.17,6.12,23.59,17.15,11.05,16.49,12.81
2022-11-14-20:40:25.172,1,6.48,16.68,18.15,6.14,23.71,17.15,11.06,16.42,12.69
2022-11-14-20:40:26.186,1,6.51,16.74,18.20,6.12,23.59,17.17,11.06,16.50,12.77
2022-11-14-20:40:27.228,1,6.53,16.74,18.20,6.14,23.62,17.15,11.09,16.51,12.78
2022-11-14-20:40:28.225,1,6.53,16.74,18.15,6.14,23.60,17.16,11.08,16.57,12.79
